n_clusters,num_noise_points,use_umap,n_components,n_neighbors,quality_score,avg_same_cluster,avg_diff_cluster,n_same,n_diff,n_total,iteration,min_cluster_size,model,year,method,data_name,params
535,9558,TRUE,5,15,1.95349947193111,2.4280303030303,0.474530831099196,264,1865,4167,3,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_5_n_neighbors_15
535,9558,TRUE,5,15,1.95349947193111,2.4280303030303,0.474530831099196,264,1865,4167,4,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_5_n_neighbors_15
535,9558,TRUE,5,15,1.95349947193111,2.4280303030303,0.474530831099196,264,1865,4167,5,10,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_10_use_umap_TRUE_n_components_5_n_neighbors_15
74,11504,TRUE,5,15,1.74647682294486,2.04077669902913,0.294299876084263,515,1614,4167,1,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_5_n_neighbors_15
74,11504,TRUE,5,15,1.74647682294486,2.04077669902913,0.294299876084263,515,1614,4167,2,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_5_n_neighbors_15
74,11504,TRUE,5,15,1.74647682294486,2.04077669902913,0.294299876084263,515,1614,4167,3,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_5_n_neighbors_15
74,11504,TRUE,5,15,1.74647682294486,2.04077669902913,0.294299876084263,515,1614,4167,4,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_5_n_neighbors_15
74,11504,TRUE,5,15,1.74647682294486,2.04077669902913,0.294299876084263,515,1614,4167,5,50,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_50_use_umap_TRUE_n_components_5_n_neighbors_15
30,12424,TRUE,5,15,1.73310032279442,1.94516129032258,0.212060967528164,620,1509,4167,1,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_5_n_neighbors_15
30,12424,TRUE,5,15,1.73310032279442,1.94516129032258,0.212060967528164,620,1509,4167,2,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_5_n_neighbors_15
30,12424,TRUE,5,15,1.73310032279442,1.94516129032258,0.212060967528164,620,1509,4167,3,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_5_n_neighbors_15
30,12424,TRUE,5,15,1.73310032279442,1.94516129032258,0.212060967528164,620,1509,4167,4,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_5_n_neighbors_15
30,12424,TRUE,5,15,1.73310032279442,1.94516129032258,0.212060967528164,620,1509,4167,5,100,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_100_use_umap_TRUE_n_components_5_n_neighbors_15
18,15210,TRUE,5,15,1.73122880074495,1.95847176079734,0.22724296005239,602,1527,4167,1,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_5_n_neighbors_15
18,15210,TRUE,5,15,1.73122880074495,1.95847176079734,0.22724296005239,602,1527,4167,2,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_5_n_neighbors_15
18,15210,TRUE,5,15,1.73122880074495,1.95847176079734,0.22724296005239,602,1527,4167,3,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_5_n_neighbors_15
18,15210,TRUE,5,15,1.73122880074495,1.95847176079734,0.22724296005239,602,1527,4167,4,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_5_n_neighbors_15
18,15210,TRUE,5,15,1.73122880074495,1.95847176079734,0.22724296005239,602,1527,4167,5,200,text-embedding-3-large,2018,hdbscan,text_2018,min_cluster_size_200_use_umap_TRUE_n_components_5_n_neighbors_15
